[2026-04-01 15:02:26] USER: noaaaah_493 | CMD: !man valo
[01/04/2026 17:42:32] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 17:42:32] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 18:01:49] USER: noaaaah_493 | CMD: !premier -event 01:01:2026 18:32
[2026-04-01 18:02:17] USER: noaaaah_493 | CMD: !premier -event 01:01:2026 18:34
[01/04/2026 18:04:44] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 18:04:44] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 18:04:54] USER: noaaaah_493 | CMD: !premier -event 01:01:2026 18:36
[01/04/2026 18:08:25] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 18:08:25] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 18:08:32] USER: noaaaah_493 | CMD: !premier -event 01:01:2026 18:40
[01/04/2026 18:13:50] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 18:13:51] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 18:14:09] USER: noaaaah_493 | CMD: !premier -event 01:01:2026 18:45
[01/04/2026 18:15:52] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 18:15:52] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 18:15:59] USER: noaaaah_493 | CMD: !premier -event 01:01:2026 18:47
[01/04/2026 18:21:06] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 18:21:06] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 18:21:16] USER: noaaaah_493 | CMD: !premier -event 01:01:2026 18:53
[01/04/2026 18:22:05] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[2026-04-01 18:22:15] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 18:54
[2026-04-01 18:24:28] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 18:54
[01/04/2026 18:25:39] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[2026-04-01 18:25:47] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 18:00
[01/04/2026 18:32:51] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 18:32:51] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 18:33:15] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 18:00
[2026-04-01 18:33:32] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 19:00
[2026-04-01 18:34:43] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 19:05
[01/04/2026 18:35:14] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 18:35:14] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 18:35:22] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 19:00
[2026-04-01 18:35:30] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 19:00
[01/04/2026 18:36:34] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 18:40:47] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[2026-04-01 18:41:00] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 19:12
[2026-04-01 18:41:26] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 19:13
[01/04/2026 18:53:45] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 18:53:45] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[01/04/2026 18:54:07] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[2026-04-01 18:54:19] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 19:25
[01/04/2026 18:54:30] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.lambda$sendInvitationAndListen$4() >> noaaaah_493accept the invitation at 2026-04-01T19:25
[2026-04-01 18:54:40] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 19:25
[01/04/2026 18:54:42] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.lambda$sendInvitationAndListen$4() >> noaaaah_493declined the invitation at 2026-04-01T19:25
[01/04/2026 18:57:18] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 18:57:18] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 18:57:26] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 19:29
[01/04/2026 18:57:30] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.lambda$sendInvitationAndListen$4() >> noaaaah_493accept the invitation at 
[2026-04-01 18:57:47] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 19:29
[01/04/2026 18:57:49] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.lambda$sendInvitationAndListen$4() >> noaaaah_493declined the invitation at 
[01/04/2026 18:58:15] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 18:58:15] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 18:58:25] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 19:29
[01/04/2026 18:58:29] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.lambda$sendInvitationAndListen$4() >> noaaaah_493accept the invitation at 
